Epoch 1, Loss: 2.7752492427825928, Accuracy: 5.597014904022217, Test Loss: 2.7599313259124756, Test Accuracy: 7.57575798034668
Saved model to disk
Epoch 11, Loss: 1.2503074407577515, Accuracy: 55.91926574707031, Test Loss: 1.2658369541168213, Test Accuracy: 54.06336212158203
Epoch 21, Loss: 0.7426598072052002, Accuracy: 73.7473373413086, Test Loss: 0.8317312598228455, Test Accuracy: 70.83332824707031
Epoch 31, Loss: 0.5240453481674194, Accuracy: 81.44559478759766, Test Loss: 0.6483345031738281, Test Accuracy: 77.92032623291016
Epoch 41, Loss: 0.421992689371109, Accuracy: 85.13378143310547, Test Loss: 0.5859184265136719, Test Accuracy: 80.95897674560547
Epoch 51, Loss: 0.3399445116519928, Accuracy: 88.02677917480469, Test Loss: 0.5217924118041992, Test Accuracy: 83.5635757446289
Epoch 61, Loss: 0.28422051668167114, Accuracy: 89.9896011352539, Test Loss: 0.4924246370792389, Test Accuracy: 85.30178833007812
Epoch 71, Loss: 0.24418960511684418, Accuracy: 91.3995132446289, Test Loss: 0.47774699330329895, Test Accuracy: 86.6143798828125
Epoch 81, Loss: 0.21404273808002472, Accuracy: 92.4613037109375, Test Loss: 0.46986261010169983, Test Accuracy: 87.61223602294922
Epoch 91, Loss: 0.19052155315876007, Accuracy: 93.28973388671875, Test Loss: 0.465627521276474, Test Accuracy: 88.3907699584961
Epoch 101, Loss: 0.17165803909301758, Accuracy: 93.95411682128906, Test Loss: 0.46356403827667236, Test Accuracy: 89.01515197753906
Saved model to disk
Epoch 111, Loss: 0.156193345785141, Accuracy: 94.49878692626953, Test Loss: 0.46288323402404785, Test Accuracy: 89.52703094482422
Epoch 121, Loss: 0.14328481256961823, Accuracy: 94.95343780517578, Test Loss: 0.46312105655670166, Test Accuracy: 89.95429229736328
Epoch 131, Loss: 0.13234703242778778, Accuracy: 95.33866882324219, Test Loss: 0.46399039030075073, Test Accuracy: 90.31632995605469
Epoch 141, Loss: 0.12296072393655777, Accuracy: 95.66925811767578, Test Loss: 0.46530047059059143, Test Accuracy: 90.62701416015625
Epoch 151, Loss: 0.11481762677431107, Accuracy: 95.95606231689453, Test Loss: 0.4669022858142853, Test Accuracy: 90.89654541015625
Epoch 161, Loss: 0.10768609493970871, Accuracy: 96.20723724365234, Test Loss: 0.4687117040157318, Test Accuracy: 91.13259887695312
Epoch 171, Loss: 0.10138866305351257, Accuracy: 96.42903900146484, Test Loss: 0.47066617012023926, Test Accuracy: 91.3410415649414
Epoch 181, Loss: 0.09578707814216614, Accuracy: 96.62632751464844, Test Loss: 0.472709983587265, Test Accuracy: 91.52645111083984
Epoch 191, Loss: 0.09077204763889313, Accuracy: 96.80296325683594, Test Loss: 0.47480958700180054, Test Accuracy: 91.69244384765625
Epoch 201, Loss: 0.08625602722167969, Accuracy: 96.9620132446289, Test Loss: 0.4769476652145386, Test Accuracy: 91.84192657470703
Saved model to disk
Epoch 211, Loss: 0.08216806501150131, Accuracy: 97.10599517822266, Test Loss: 0.47911831736564636, Test Accuracy: 91.98262023925781
Epoch 221, Loss: 0.07845005393028259, Accuracy: 97.23694610595703, Test Loss: 0.48131003975868225, Test Accuracy: 92.1225814819336
Epoch 231, Loss: 0.07505394518375397, Accuracy: 97.3565673828125, Test Loss: 0.48353269696235657, Test Accuracy: 92.25042724609375
Epoch 241, Loss: 0.07193967700004578, Accuracy: 97.46624755859375, Test Loss: 0.48576757311820984, Test Accuracy: 92.36766052246094
Epoch 251, Loss: 0.06907355040311813, Accuracy: 97.56719207763672, Test Loss: 0.48799318075180054, Test Accuracy: 92.47554779052734
Epoch 261, Loss: 0.06642705947160721, Accuracy: 97.66040802001953, Test Loss: 0.49019819498062134, Test Accuracy: 92.5751724243164
Epoch 271, Loss: 0.06397587060928345, Accuracy: 97.74673461914062, Test Loss: 0.4923754930496216, Test Accuracy: 92.66744995117188
Epoch 281, Loss: 0.06169915199279785, Accuracy: 97.82691955566406, Test Loss: 0.4945145547389984, Test Accuracy: 92.7531509399414
Epoch 291, Loss: 0.05957890674471855, Accuracy: 97.90160369873047, Test Loss: 0.4966423511505127, Test Accuracy: 92.83296966552734
Epoch 301, Loss: 0.057599540799856186, Accuracy: 97.9713134765625, Test Loss: 0.4987497925758362, Test Accuracy: 92.90748596191406
Saved model to disk
Epoch 311, Loss: 0.055747464299201965, Accuracy: 98.03654479980469, Test Loss: 0.500830352306366, Test Accuracy: 92.97720336914062
Epoch 321, Loss: 0.0540107823908329, Accuracy: 98.09770965576172, Test Loss: 0.5028857588768005, Test Accuracy: 93.0425796508789
Epoch 331, Loss: 0.05237903818488121, Accuracy: 98.15518188476562, Test Loss: 0.5049322843551636, Test Accuracy: 93.10399627685547
Epoch 341, Loss: 0.050842996686697006, Accuracy: 98.20928955078125, Test Loss: 0.5069659948348999, Test Accuracy: 93.16181945800781
Epoch 351, Loss: 0.049394477158784866, Accuracy: 98.26029968261719, Test Loss: 0.5089812278747559, Test Accuracy: 93.21635437011719
Epoch 361, Loss: 0.04802620783448219, Accuracy: 98.3084945678711, Test Loss: 0.5109933614730835, Test Accuracy: 93.26786041259766
Epoch 371, Loss: 0.046731702983379364, Accuracy: 98.35408020019531, Test Loss: 0.5129935145378113, Test Accuracy: 93.31658935546875
Epoch 381, Loss: 0.04550514742732048, Accuracy: 98.39728546142578, Test Loss: 0.5149573087692261, Test Accuracy: 93.36077880859375
Epoch 391, Loss: 0.04434133321046829, Accuracy: 98.43827819824219, Test Loss: 0.516875147819519, Test Accuracy: 93.4036636352539
Epoch 401, Loss: 0.04323556646704674, Accuracy: 98.47721862792969, Test Loss: 0.5187340974807739, Test Accuracy: 93.44536590576172
Saved model to disk
Epoch 411, Loss: 0.04218360409140587, Accuracy: 98.51426696777344, Test Loss: 0.5205221176147461, Test Accuracy: 93.48503112792969
Epoch 421, Loss: 0.041181620210409164, Accuracy: 98.549560546875, Test Loss: 0.5222322344779968, Test Accuracy: 93.52281951904297
Epoch 431, Loss: 0.040226127952337265, Accuracy: 98.58321380615234, Test Loss: 0.5238543152809143, Test Accuracy: 93.55884552001953
Epoch 441, Loss: 0.03931397199630737, Accuracy: 98.61534118652344, Test Loss: 0.525395393371582, Test Accuracy: 93.5915298461914
